DOI	URL	title	author	issued
10.1126/science.abi9591	http://dx.doi.org/10.1126/science.abi9591	KIR <sup>+</sup> CD8 <sup>+</sup> T cells suppress pathogenic T cells and are active in autoimmune diseases and COVID-19	Li, Zaslavsky, Su, Guo, Sikora, van Unen, Christophersen, Chiou, Chen, Li, Ji, Wilhelmy, McSween, Palanski, Mallajosyula, Bracey, Dhondalay, Bhamidipati, Pai, Kipp, Dunn, Hauser, Oksenberg, Satpathy, Robinson, Dekker, Steinmetz, Khosla, Utz, Sollid, Chien, Heath, Fernandez-Becker, Nadeau, Saligrama, Davis	2022-4-15
10.1126/science.abn2222	http://dx.doi.org/10.1126/science.abn2222	COVID-19—lessons for zoonotic disease	Holmes	2022-3-11
10.1126/science.abo7976	http://dx.doi.org/10.1126/science.abo7976	A time to reflect	Ash, Alderton, Kelly, Scanlon, Vinson, Wible	2022-3-11
10.1126/science.abm8108	http://dx.doi.org/10.1126/science.abm8108	The immunology and immunopathology of COVID-19	Merad, Blish, Sallusto, Iwasaki	2022-3-11
10.1126/science.abo4089	http://dx.doi.org/10.1126/science.abo4089	End COVID-19 in low- and middle-income countries	Mobarak, Miguel, Abaluck, Ahuja, Alsan, Banerjee, Breza, Chandrasekhar, Duflo, Dzansi, Garrett, Goldsmith-Pinkham, Gonsalves, Hossain, Jakubowski, Kang, Kharel, Kremer, Meriggi, Nekesa, Olken, Omer, Qadri, Rees, Salako, Voors, Warren, Więcek	2022-3-11
10.1126/science.abn1755	http://dx.doi.org/10.1126/science.abn1755	COVID-19 vaccination: The road ahead	Altmann, Boyton	2022-3-11
10.1126/science.abm5922	http://dx.doi.org/10.1126/science.abm5922	Gender-responsive social protection post–COVID-19	Gavrilovic, Rubio, Bastagli, Hinton, Staab, Goulder, Bilo, Khan, Peterman, Diallo, Alfers, Santiago, Rizvi, Holmes, Mejia, Tabbush	2022-3-11
10.1126/science.adb1762	http://dx.doi.org/10.1126/science.adb1762	China quietly plans a pivot from ‘zero COVID’	Normile	2022-3-4
10.1126/science.abn9649	http://dx.doi.org/10.1126/science.abn9649	Why do people die from COVID-19?	Bastard	2022-2-25
10.1126/science.ada1333	http://dx.doi.org/10.1126/science.ada1333	COVID-19 boosts risk of heart disease 1 year later	Wadman	2022-2-18
10.1126/science.abm5154	http://dx.doi.org/10.1126/science.abm5154	COVID mortality in India: National survey data and health facility deaths	Jha, Deshmukh, Tumbe, Suraweera, Bhowmick, Sharma, Novosad, Fu, Newcombe, Gelband, Brown	2022-2-11
10.1126/science.ada0536	http://dx.doi.org/10.1126/science.ada0536	Vaccines may cause rare, Long Covid–like symptoms	Couzin-Frankel, Vogel	2022-1-28
10.1126/science.abm2052	http://dx.doi.org/10.1126/science.abm2052	Nervous system consequences of COVID-19	Spudich, Nath	2022-1-21
10.1126/science.abi9069	http://dx.doi.org/10.1126/science.abi9069	Impact of community masking on COVID-19: A cluster-randomized trial in Bangladesh	Abaluck, Kwong, Styczynski, Haque, Kabir, Bates-Jefferys, Crawford, Benjamin-Chung, Raihan, Rahman, Benhachmi, Bintee, Winch, Hossain, Reza, Jaber, Momen, Rahman, Banti, Huq, Luby, Mobarak	2022-1-14
10.1126/science.abm3425	http://dx.doi.org/10.1126/science.abm3425	Immune correlates analysis of the mRNA-1273 COVID-19 vaccine efficacy clinical trial		2022-1-7
